scan	depth	temp	conductivity	density	salinity	time	turbidity	cdom	chlor_a	ox_sat	lat	long	flag
69000	4.365	19.7744	4.766426	1024.8235	34.9781	736619858	1.574	0	0.39216	7.42701	34.18818	-77.7561	0
69001	4.372	19.774	4.766384	1024.8236	34.978	736619858	1.564	0	0.38529	7.42706	34.18818	-77.7561	0
69002	4.382	19.7739	4.766371	1024.8237	34.978	736619859	1.551	0	0.38376	7.42708	34.1881	-77.75606	0
69003	4.392	19.7738	4.766345	1024.8236	34.9779	736619859	1.608	0	0.38758	7.4271	34.1881	-77.75606	0
69004	4.406	19.7738	4.76633	1024.8236	34.9778	736619859	1.598	0	0.37766	7.42711	34.18814	-77.7561	0
69005	4.408	19.7737	4.766318	1024.8236	34.9777	736619859	1.579	0	0.37766	7.42712	34.18814	-77.7561	0
69006	4.418	19.7734	4.766308	1024.8239	34.9779	736619859	1.57	0	0.38529	7.42716	34.18814	-77.7561	0
69007	4.418	19.7731	4.766315	1024.8242	34.9782	736619859	1.556	0	0.37613	7.42718	34.18814	-77.7561	0
69008	4.417	19.7725	4.766231	1024.8241	34.978	736619859	1.549	0	0.38376	7.42727	34.18814	-77.7561	0
69009	4.417	19.7718	4.766143	1024.8242	34.9778	736619859	1.568	0	0.38987	7.42737	34.18814	-77.7561	0
69010	4.426	19.7712	4.766105	1024.8246	34.9781	736619859	1.547	0	0.39826	7.42745	34.18814	-77.7561	0
69011	4.431	19.7708	4.766025	1024.8245	34.9777	736619860	1.551	0	0.39521	7.42751	34.18808	-77.75606	0
69012	4.432	19.7706	4.766028	1024.8247	34.978	736619860	1.539	0	0.39139	7.42754	34.18812	-77.75608	0
69013	4.43	19.7704	4.765991	1024.8246	34.9778	736619860	1.555	0	0.39368	7.42756	34.18812	-77.75608	0
69014	4.43	19.7705	4.766003	1024.8246	34.9778	736619860	1.562	0	0.38224	7.42755	34.18812	-77.75608	0
69015	4.437	19.771	4.766035	1024.8244	34.9777	736619860	1.539	0	0.38758	7.42749	34.18812	-77.75608	0
69016	4.441	19.7713	4.766101	1024.8246	34.978	736619860	1.549	0	0.39063	7.42744	34.18812	-77.75608	0
69017	4.443	19.7712	4.766111	1024.8247	34.9781	736619861	1.553	0	0.38605	7.42744	34.18806	-77.75606	0
69018	4.457	19.7716	4.766143	1024.8246	34.978	736619861	1.56	0	0.38834	7.42739	34.1881	-77.75608	0
69019	4.467	19.7718	4.766226	1024.825	34.9785	736619861	1.53	0	0.39063	7.42734	34.1881	-77.75608	0
69020	4.473	19.7716	4.7662	1024.825	34.9785	736619861	1.535	0	0.38224	7.42737	34.1881	-77.75608	0
69021	4.478	19.7707	4.766073	1024.8251	34.9782	736619861	1.53	0	0.37308	7.42751	34.1881	-77.75608	0
69022	4.486	19.7697	4.765908	1024.8249	34.9777	736619861	1.555	0	0.38529	7.42767	34.1881	-77.75608	0
69023	4.496	19.7692	4.765812	1024.8248	34.9773	736619861	1.581	0	0.40589	7.42775	34.1881	-77.75608	0
69024	4.512	19.7696	4.765898	1024.8251	34.9776	736619861	1.602	0	0.39979	7.42768	34.1881	-77.75608	0
69025	4.525	19.7709	4.766032	1024.8248	34.9777	736619862	1.556	0	0.39826	7.42751	34.18804	-77.75604	0
69026	4.539	19.7714	4.766152	1024.8251	34.9782	736619862	1.547	0	0.39521	7.42741	34.18804	-77.75604	0
69027	4.55	19.7715	4.76612	1024.8249	34.9779	736619862	1.543	0	0.39292	7.42741	34.18808	-77.75606	0
69028	4.553	19.7715	4.766116	1024.8249	34.9779	736619862	1.547	0	0.38987	7.42741	34.18808	-77.75606	0
69029	4.564	19.7715	4.766104	1024.8248	34.9777	736619862	1.575	0	0.41123	7.42741	34.18808	-77.75606	0
69030	4.576	19.7715	4.766088	1024.8248	34.9776	736619862	1.562	0	0.41199	7.42742	34.18808	-77.75606	0
69031	4.589	19.7717	4.766044	1024.8244	34.9771	736619862	1.57	0	0.40818	7.42742	34.18808	-77.75606	0
69032	4.587	19.7718	4.766071	1024.8245	34.9772	736619862	1.589	0	0.39979	7.4274	34.18808	-77.75606	0
69033	4.595	19.7716	4.766056	1024.8247	34.9773	736619862	1.583	0	0.40436	7.42743	34.18808	-77.75606	0
69034	4.596	19.7715	4.765961	1024.8241	34.9766	736619863	1.581	0	0.40055	7.42747	34.188	-77.75604	0
69035	4.599	19.7716	4.765918	1024.8237	34.9761	736619863	1.568	0	0.38682	7.42747	34.18804	-77.75606	0
69036	4.609	19.7717	4.76594	1024.8238	34.9762	736619863	1.545	0	0.38987	7.42746	34.18804	-77.75606	0
69037	4.612	19.7716	4.765948	1024.824	34.9764	736619863	1.545	0	0.38605	7.42746	34.18804	-77.75606	0
69038	4.612	19.7714	4.765908	1024.8239	34.9762	736619863	1.57	0	0.38605	7.4275	34.18804	-77.75606	0
69039	4.613	19.7712	4.765906	1024.8241	34.9763	736619863	1.572	0	0.39063	7.42752	34.18804	-77.75606	0
69040	4.617	19.771	4.765908	1024.8243	34.9765	736619863	1.56	0	0.38453	7.42754	34.18804	-77.75606	0
69041	4.622	19.7707	4.76586	1024.8243	34.9764	736619863	1.558	0	0.38911	7.42759	34.18804	-77.75606	0
69042	4.629	19.7706	4.765857	1024.8244	34.9765	736619864	1.566	0	0.3975	7.4276	34.18798	-77.75604	0
69043	4.633	19.7704	4.765872	1024.8247	34.9768	736619864	1.57	0	0.38758	7.42762	34.18798	-77.75604	0
69044	4.634	19.7702	4.765832	1024.8246	34.9766	736619864	1.56	0	0.38758	7.42765	34.18802	-77.75606	0
69045	4.638	19.7702	4.765816	1024.8245	34.9764	736619864	1.585	0	0.39368	7.42765	34.18802	-77.75606	0
69046	4.646	19.7705	4.765818	1024.8243	34.9762	736619864	1.583	0	0.40742	7.42762	34.18802	-77.75606	0
69047	4.647	19.7709	4.76586	1024.8242	34.9762	736619864	1.568	0	0.39902	7.42757	34.18802	-77.75606	0
69048	4.66	19.7719	4.765881	1024.8236	34.9756	736619864	1.553	0	0.38453	7.42747	34.18802	-77.75606	0
69049	4.659	19.7727	4.766032	1024.8237	34.9761	736619864	1.556	0	0.38148	7.42732	34.18802	-77.75606	0
69050	4.666	19.7733	4.76606	1024.8234	34.9759	736619864	1.57	0	0.39216	7.42726	34.18802	-77.75606	0
69051	4.666	19.774	4.766131	1024.8232	34.9759	736619865	1.574	0	0.38987	7.42716	34.18796	-77.75604	0
69052	4.667	19.7743	4.766175	1024.8232	34.9759	736619865	1.589	0	0.38758	7.42711	34.18798	-77.75604	0
69053	4.669	19.7752	4.766254	1024.823	34.9759	736619865	1.585	0	0.39673	7.427	34.18798	-77.75604	0
69054	4.661	19.7758	4.766337	1024.8229	34.976	736619865	1.575	0	0.39216	7.42691	34.18798	-77.75604	0
69055	4.662	19.7758	4.766323	1024.8228	34.9759	736619865	1.581	0	0.40513	7.42691	34.18798	-77.75604	0
69056	4.654	19.7754	4.766295	1024.823	34.9761	736619865	1.587	0	0.40742	7.42696	34.18798	-77.75604	0
69057	4.65	19.7752	4.766264	1024.8229	34.976	736619866	1.587	0	0.40131	7.42699	34.18794	-77.75604	0
69058	4.654	19.775	4.766244	1024.8229	34.9759	736619866	1.585	0	0.39063	7.42702	34.18794	-77.75604	0
69059	4.654	19.7752	4.766273	1024.823	34.976	736619866	1.579	0	0.383	7.42699	34.18796	-77.75604	0
69060	4.649	19.7753	4.766262	1024.8228	34.9758	736619866	1.558	0	0.40436	7.42698	34.18796	-77.75604	0
69061	4.658	19.7759	4.766359	1024.8229	34.9761	736619866	1.566	0	0.40208	7.42689	34.18796	-77.75604	0
69062	4.664	19.7763	4.766391	1024.8228	34.9761	736619866	1.6	0	0.38911	7.42684	34.18796	-77.75604	0
69063	4.666	19.7764	4.766426	1024.8229	34.9763	736619866	1.602	0	0.38682	7.42682	34.18796	-77.75604	0
69064	4.67	19.7766	4.766426	1024.8228	34.9761	736619866	1.577	0	0.38834	7.4268	34.18796	-77.75604	0
69065	4.673	19.7768	4.76643	1024.8226	34.9759	736619866	1.602	0	0.39673	7.42677	34.18796	-77.75604	0
69066	4.678	19.7768	4.766429	1024.8226	34.9759	736619867	1.598	0	0.39292	7.42677	34.1879	-77.75602	0
69067	4.683	19.7766	4.766432	1024.8228	34.9761	736619867	1.572	0	0.39063	7.42679	34.18794	-77.75604	0
69068	4.685	19.7768	4.766432	1024.8227	34.976	736619867	1.606	0	0.38911	7.42678	34.18794	-77.75604	0
69069	4.693	19.7769	4.766413	1024.8225	34.9758	736619867	1.6	0	0.38224	7.42677	34.18794	-77.75604	0
69070	4.685	19.7765	4.766398	1024.8227	34.9759	736619867	1.583	0	0.37232	7.42681	34.18794	-77.75604	0
69071	4.7	19.7763	4.766371	1024.8228	34.9759	736619867	1.583	0	0.38071	7.42685	34.18794	-77.75604	0
69072	4.704	19.7758	4.766362	1024.8232	34.9762	736619867	1.57	0	0.38911	7.4269	34.18794	-77.75604	0
69073	4.708	19.7751	4.766286	1024.8234	34.9762	736619867	1.596	0	0.38224	7.42699	34.18794	-77.75604	0
69074	4.713	19.7742	4.766164	1024.8234	34.9759	736619868	1.585	0	0.38376	7.42713	34.18788	-77.75602	0
69075	4.719	19.7738	4.766155	1024.8238	34.9762	736619868	1.558	0	0.38605	7.42717	34.18788	-77.75602	0
69076	4.727	19.7733	4.766124	1024.8241	34.9764	736619868	1.572	0	0.38529	7.42723	34.1879	-77.75602	0
69077	4.725	19.7731	4.766063	1024.8239	34.9761	736619868	1.555	0	0.40818	7.42728	34.1879	-77.75602	0
69078	4.735	19.7731	4.766067	1024.824	34.9761	736619868	1.577	0	0.39368	7.42728	34.1879	-77.75602	0
69079	4.738	19.7729	4.766048	1024.824	34.976	736619868	1.587	0	0.39063	7.4273	34.1879	-77.75602	0
69080	4.738	19.7727	4.766019	1024.824	34.976	736619868	1.56	0	0.38682	7.42734	34.1879	-77.75602	0
69081	4.744	19.7722	4.766006	1024.8244	34.9763	736619868	1.532	0	0.37613	7.42739	34.1879	-77.75602	0
69082	4.745	19.7716	4.765954	1024.8246	34.9764	736619868	1.535	0	0.37461	7.42747	34.1879	-77.75602	0
69083	4.744	19.7716	4.765895	1024.8242	34.9759	736619869	1.535	0	0.37995	7.42749	34.18786	-77.75602	0
69084	4.75	19.7714	4.76594	1024.8247	34.9764	736619869	1.558	0	0.39445	7.42749	34.18788	-77.75602	0
69085	4.755	19.771	4.765908	1024.8248	34.9765	736619869	1.545	0	0.38758	7.42754	34.18788	-77.75602	0
