"Date","Time (GMT)","Predicted (m)","Preliminary (m)","Verified (m)"
"2023/05/02","00:00","0.771","-","0.969"
"2023/05/02","00:06","0.747","-","0.959"
"2023/05/02","00:12","0.722","-","0.926"
"2023/05/02","00:18","0.697","-","0.922"
"2023/05/02","00:24","0.672","-","0.908"
"2023/05/02","00:30","0.647","-","0.884"
"2023/05/02","00:36","0.622","-","0.849"
"2023/05/02","00:42","0.597","-","0.828"
"2023/05/02","00:48","0.572","-","0.818"
"2023/05/02","00:54","0.548","-","0.783"
"2023/05/02","01:00","0.523","-","0.759"
"2023/05/02","01:06","0.499","-","0.726"
"2023/05/02","01:12","0.475","-","0.7"
"2023/05/02","01:18","0.452","-","0.677"
"2023/05/02","01:24","0.428","-","0.653"
"2023/05/02","01:30","0.406","-","0.631"
"2023/05/02","01:36","0.384","-","0.617"
"2023/05/02","01:42","0.363","-","0.585"
"2023/05/02","01:48","0.342","-","0.552"
"2023/05/02","01:54","0.322","-","0.532"
"2023/05/02","02:00","0.303","-","0.509"
"2023/05/02","02:06","0.285","-","0.496"
"2023/05/02","02:12","0.267","-","0.481"
"2023/05/02","02:18","0.251","-","0.473"
"2023/05/02","02:24","0.236","-","0.446"
"2023/05/02","02:30","0.222","-","0.42"
"2023/05/02","02:36","0.209","-","0.411"
"2023/05/02","02:42","0.197","-","0.387"
"2023/05/02","02:48","0.186","-","0.358"
"2023/05/02","02:54","0.177","-","0.332"
"2023/05/02","03:00","0.169","-","0.314"
"2023/05/02","03:06","0.163","-","0.304"
"2023/05/02","03:12","0.158","-","0.283"
"2023/05/02","03:18","0.155","-","0.273"
"2023/05/02","03:24","0.153","-","0.259"
"2023/05/02","03:30","0.152","-","0.247"
"2023/05/02","03:36","0.153","-","0.249"
"2023/05/02","03:42","0.156","-","0.223"
"2023/05/02","03:48","0.16","-","0.238"
"2023/05/02","03:54","0.165","-","0.237"
"2023/05/02","04:00","0.172","-","0.239"
"2023/05/02","04:06","0.181","-","0.25"
"2023/05/02","04:12","0.191","-","0.251"
"2023/05/02","04:18","0.202","-","0.255"
"2023/05/02","04:24","0.214","-","0.279"
"2023/05/02","04:30","0.228","-","0.301"
"2023/05/02","04:36","0.243","-","0.297"
"2023/05/02","04:42","0.259","-","0.32"
"2023/05/02","04:48","0.277","-","0.338"
