,scan,depth,temp,conductivity,density,salinity,time,turbidity,cdom,in_situ_chl,ox_sat,lat,lon,flag,transect_id,timestamp,hawkeye_chl,modisa_chl,s3a_chl,s3b_chl
scan,1.0,0.018219799013095093,0.23694168557421486,0.14664606489205934,-0.297105515190601,-0.45283076362440544,0.9999999925831643,0.3295256688392596,,0.3076336097776803,-0.21344051475309592,-0.4245886300892475,0.39216321989603686,,0.9923096602086875,0.9999999925832029,-0.43594805926115565,-0.4453306740436896,-0.7548592923380926,-0.5984250243334258
depth,0.018219799013095093,1.0,-0.7761039066663971,-0.7241125479513408,0.8629176356956456,0.30616759101816,0.018215188697311015,0.13462502154828734,,0.6739301739237058,0.7673548621813856,-0.010708696100976176,0.010123628324655076,,0.020530240940473742,0.01821518869508301,0.01868222881318978,0.0019940203630542373,-0.023301416000544604,-0.048863661554501774
temp,0.23694168557421486,-0.7761039066663971,1.0,0.9769528470724429,-0.9199793643075056,-0.21762409369391525,0.23694477113546067,-0.10629912884717786,,-0.5651067529339933,-0.9984284967861694,-0.1659204666595412,0.017476431570127723,,0.23051260723979072,0.23694477109913897,-0.19022003999898426,-0.07294291451030045,-0.15960797577369543,-0.04213836186148039
conductivity,0.14664606489205934,-0.7241125479513408,0.9769528470724429,1.0,-0.8214089634095708,-0.004371782966100625,0.14664826762159017,-0.13747251707987362,,-0.555205173360002,-0.9873593476296443,-0.18306086239122024,-0.07951525156670594,,0.13671735436898766,0.14664826755527013,-0.16381709287189086,0.03349716968456387,-0.11082125363714464,0.039772110327796505
density,-0.297105515190601,0.8629176356956456,-0.9199793643075056,-0.8214089634095708,1.0,0.549262592997775,-0.2971101238743215,0.05951638173303042,,0.5723913473105425,0.8985977564891066,0.08677462477020695,-0.15667147966462486,,-0.29736691304992985,-0.29711012392655933,0.17662346568834217,0.21244925589584832,0.1792048183783001,0.14160370636982433
salinity,-0.45283076362440544,0.30616759101816,-0.21762409369391525,-0.004371782966100625,0.549262592997775,1.0,-0.4528350658281039,-0.1325504990590879,,0.09669131407894509,0.1626312571321947,-0.05356204523342055,-0.4503469910273587,,-0.4680895574965544,-0.4528350660318314,0.14917807934654315,0.5015794742737316,0.24994359194848728,0.3864244143881916
time,0.9999999925831643,0.018215188697311015,0.23694477113546067,0.14664826762159017,-0.2971101238743215,-0.4528350658281039,1.0,0.32952132234426595,,0.30762336935839546,-0.21344339229557407,-0.4245838167866704,0.3921665748892764,,0.9923095749395885,1.0000000000000566,-0.4359489381906072,-0.4453346851551163,-0.7548545980993134,-0.5984191443797663
turbidity,0.3295256688392596,0.13462502154828734,-0.10629912884717786,-0.13747251707987362,0.05951638173303042,-0.1325504990590879,0.32952132234426595,1.0,,0.46886188980288634,0.11562360511701916,-0.2948312096945877,-0.02672185296501817,,0.3139507431793167,0.3295213220728709,-0.1294052714783778,0.04252007492744766,-0.37718634538285367,-0.3089182808806631
cdom,,,,,,,,,,,,,,,,,,,,
in_situ_chl,0.3076336097776803,0.6739301739237058,-0.5651067529339933,-0.555205173360002,0.5723913473105425,0.09669131407894509,0.30762336935839546,0.46886188980288634,,1.0,0.5663907918426269,-0.411248617311442,-0.1273254565452758,,0.3148924934943664,0.3076233692990373,-0.13205284707245576,0.06156959229799438,-0.3755715839413985,-0.30604754227278136
ox_sat,-0.21344051475309592,0.7673548621813856,-0.9984284967861694,-0.9873593476296443,0.8985977564891066,0.1626312571321947,-0.21344339229557407,0.11562360511701916,,0.5663907918426269,1.0,0.1705958760093585,0.008063316235902653,,-0.20605808603930512,-0.2134433922623737,0.18392096795846477,0.045058541333663556,0.14684866863294338,0.02024400688416554
lat,-0.4245886300892475,-0.010708696100976176,-0.1659204666595412,-0.18306086239122024,0.08677462477020695,-0.05356204523342055,-0.4245838167866704,-0.2948312096945877,,-0.411248617311442,0.1705958760093585,1.0,0.6477651986192744,,-0.42569658739554794,-0.4245838164676648,0.2861675403529831,-0.35697790011618286,0.5679826994093665,0.26015583729817693
lon,0.39216321989603686,0.010123628324655076,0.017476431570127723,-0.07951525156670594,-0.15667147966462486,-0.4503469910273587,0.3921665748892764,-0.02672185296501817,,-0.1273254565452758,0.008063316235902653,0.6477651986192744,1.0,,0.40316332417448975,0.3921665752986993,-0.06888018919849136,-0.7213298910636688,-0.08682666257762037,-0.28868434349207434
flag,,,,,,,,,,,,,,,,,,,,
transect_id,0.9923096602086875,0.020530240940473742,0.23051260723979072,0.13671735436898766,-0.29736691304992985,-0.4680895574965544,0.9923095749395885,0.3139507431793167,,0.3148924934943664,-0.20605808603930512,-0.42569658739554794,0.40316332417448975,,1.0,0.9923095749936616,-0.44105529174763436,-0.4469276163973094,-0.7663013442288092,-0.6108618038206001
timestamp,0.9999999925832029,0.01821518869508301,0.23694477109913897,0.14664826755527013,-0.29711012392655933,-0.4528350660318314,1.0000000000000566,0.3295213220728709,,0.3076233692990373,-0.2134433922623737,-0.4245838164676648,0.3921665752986993,,0.9923095749936616,1.0,-0.4359489382606443,-0.445334685418522,-0.754854598117808,-0.5984191444600654
hawkeye_chl,-0.43594805926115565,0.01868222881318978,-0.19022003999898426,-0.16381709287189086,0.17662346568834217,0.14917807934654315,-0.4359489381906072,-0.1294052714783778,,-0.13205284707245576,0.18392096795846477,0.2861675403529831,-0.06888018919849136,,-0.44105529174763436,-0.4359489382606443,1.0,0.059217821499713275,0.39316740356121865,0.02013395363954475
modisa_chl,-0.4453306740436896,0.0019940203630542373,-0.07294291451030045,0.03349716968456387,0.21244925589584832,0.5015794742737316,-0.4453346851551163,0.04252007492744766,,0.06156959229799438,0.045058541333663556,-0.35697790011618286,-0.7213298910636688,,-0.4469276163973094,-0.445334685418522,0.059217821499713275,1.0,0.08270786191078495,0.3382081857952591
s3a_chl,-0.7548592923380926,-0.023301416000544604,-0.15960797577369543,-0.11082125363714464,0.1792048183783001,0.24994359194848728,-0.7548545980993134,-0.37718634538285367,,-0.3755715839413985,0.14684866863294338,0.5679826994093665,-0.08682666257762037,,-0.7663013442288092,-0.754854598117808,0.39316740356121865,0.08270786191078495,1.0,0.6169759676885967
s3b_chl,-0.5984250243334258,-0.048863661554501774,-0.04213836186148039,0.039772110327796505,0.14160370636982433,0.3864244143881916,-0.5984191443797663,-0.3089182808806631,,-0.30604754227278136,0.02024400688416554,0.26015583729817693,-0.28868434349207434,,-0.6108618038206001,-0.5984191444600654,0.02013395363954475,0.3382081857952591,0.6169759676885967,1.0
