"Date","Time (GMT)","Predicted (m)","Preliminary (m)","Verified (m)"
"2023/05/02","00:00","1.316","-","1.526"
"2023/05/02","00:06","1.312","-","1.519"
"2023/05/02","00:12","1.306","-","1.512"
"2023/05/02","00:18","1.298","-","1.504"
"2023/05/02","00:24","1.289","-","1.497"
"2023/05/02","00:30","1.278","-","1.488"
"2023/05/02","00:36","1.265","-","1.477"
"2023/05/02","00:42","1.25","-","1.463"
"2023/05/02","00:48","1.235","-","1.445"
"2023/05/02","00:54","1.217","-","1.427"
"2023/05/02","01:00","1.199","-","1.408"
"2023/05/02","01:06","1.179","-","1.388"
"2023/05/02","01:12","1.158","-","1.366"
"2023/05/02","01:18","1.136","-","1.341"
"2023/05/02","01:24","1.113","-","1.317"
"2023/05/02","01:30","1.089","-","1.292"
"2023/05/02","01:36","1.064","-","1.27"
"2023/05/02","01:42","1.039","-","1.246"
"2023/05/02","01:48","1.013","-","1.222"
"2023/05/02","01:54","0.987","-","1.197"
"2023/05/02","02:00","0.96","-","1.171"
"2023/05/02","02:06","0.934","-","1.147"
"2023/05/02","02:12","0.907","-","1.121"
"2023/05/02","02:18","0.88","-","1.094"
"2023/05/02","02:24","0.853","-","1.063"
"2023/05/02","02:30","0.827","-","1.031"
"2023/05/02","02:36","0.8","-","1.005"
"2023/05/02","02:42","0.774","-","0.977"
"2023/05/02","02:48","0.748","-","0.952"
"2023/05/02","02:54","0.723","-","0.924"
"2023/05/02","03:00","0.698","-","0.9"
"2023/05/02","03:06","0.673","-","0.873"
"2023/05/02","03:12","0.649","-","0.846"
"2023/05/02","03:18","0.626","-","0.821"
"2023/05/02","03:24","0.602","-","0.798"
"2023/05/02","03:30","0.58","-","0.774"
"2023/05/02","03:36","0.558","-","0.747"
"2023/05/02","03:42","0.536","-","0.722"
"2023/05/02","03:48","0.515","-","0.699"
"2023/05/02","03:54","0.494","-","0.675"
"2023/05/02","04:00","0.474","-","0.636"
"2023/05/02","04:06","0.455","-","0.615"
"2023/05/02","04:12","0.435","-","0.596"
"2023/05/02","04:18","0.417","-","0.563"
"2023/05/02","04:24","0.398","-","0.545"
"2023/05/02","04:30","0.381","-","0.508"
"2023/05/02","04:36","0.363","-","0.489"
"2023/05/02","04:42","0.346","-","0.454"
"2023/05/02","04:48","0.33","-","0.446"
"2023/05/02","04:54","0.314","-","0.419"
"2023/05/02","05:00","0.298","-","0.394"
"2023/05/02","05:06","0.284","-","0.379"
"2023/05/02","05:12","0.269","-","0.356"
"2023/05/02","05:18","0.256","-","0.321"
"2023/05/02","05:24","0.243","-","0.307"
"2023/05/02","05:30","0.232","-","0.292"
"2023/05/02","05:36","0.221","-","0.274"
"2023/05/02","05:42","0.212","-","0.252"
"2023/05/02","05:48","0.203","-","0.237"
"2023/05/02","05:54","0.197","-","0.218"
"2023/05/02","06:00","0.192","-","0.206"
"2023/05/02","06:06","0.188","-","0.193"
"2023/05/02","06:12","0.186","-","0.185"
"2023/05/02","06:18","0.187","-","0.179"
"2023/05/02","06:24","0.189","-","0.178"
"2023/05/02","06:30","0.193","-","0.178"
"2023/05/02","06:36","0.2","-","0.185"
"2023/05/02","06:42","0.209","-","0.197"
"2023/05/02","06:48","0.221","-","0.211"
"2023/05/02","06:54","0.234","-","0.229"
"2023/05/02","07:00","0.25","-","0.259"
"2023/05/02","07:06","0.269","-","0.288"
"2023/05/02","07:12","0.289","-","0.317"
"2023/05/02","07:18","0.312","-","0.347"
"2023/05/02","07:24","0.336","-","0.383"
"2023/05/02","07:30","0.363","-","0.42"
"2023/05/02","07:36","0.391","-","0.461"
"2023/05/02","07:42","0.421","-","0.503"
"2023/05/02","07:48","0.452","-","0.545"
"2023/05/02","07:54","0.484","-","0.588"
"2023/05/02","08:00","0.517","-","0.632"
"2023/05/02","08:06","0.551","-","0.677"
"2023/05/02","08:12","0.585","-","0.721"
"2023/05/02","08:18","0.619","-","0.764"
"2023/05/02","08:24","0.653","-","0.808"
"2023/05/02","08:30","0.686","-","0.851"
"2023/05/02","08:36","0.72","-","0.891"
"2023/05/02","08:42","0.752","-","0.93"
"2023/05/02","08:48","0.784","-","0.967"
"2023/05/02","08:54","0.814","-","1.002"
"2023/05/02","09:00","0.844","-","1.037"
"2023/05/02","09:06","0.872","-","1.069"
"2023/05/02","09:12","0.899","-","1.096"
"2023/05/02","09:18","0.925","-","1.122"
"2023/05/02","09:24","0.949","-","1.144"
"2023/05/02","09:30","0.973","-","1.167"
"2023/05/02","09:36","0.994","-","1.189"
"2023/05/02","09:42","1.015","-","1.21"
"2023/05/02","09:48","1.034","-","1.23"
"2023/05/02","09:54","1.053","-","1.248"
"2023/05/02","10:00","1.07","-","1.264"
"2023/05/02","10:06","1.086","-","1.279"
"2023/05/02","10:12","1.102","-","1.291"
"2023/05/02","10:18","1.116","-","1.302"
"2023/05/02","10:24","1.13","-","1.314"
"2023/05/02","10:30","1.143","-","1.326"
"2023/05/02","10:36","1.155","-","1.338"
"2023/05/02","10:42","1.167","-","1.347"
"2023/05/02","10:48","1.178","-","1.357"
"2023/05/02","10:54","1.189","-","1.364"
"2023/05/02","11:00","1.199","-","1.374"
"2023/05/02","11:06","1.208","-","1.381"
"2023/05/02","11:12","1.217","-","1.387"
"2023/05/02","11:18","1.225","-","1.392"
"2023/05/02","11:24","1.232","-","1.397"
"2023/05/02","11:30","1.238","-","1.402"
"2023/05/02","11:36","1.243","-","1.405"
"2023/05/02","11:42","1.247","-","1.406"
"2023/05/02","11:48","1.25","-","1.406"
"2023/05/02","11:54","1.252","-","1.407"
"2023/05/02","12:00","1.253","-","1.407"
"2023/05/02","12:06","1.252","-","1.405"
"2023/05/02","12:12","1.25","-","1.403"
"2023/05/02","12:18","1.246","-","1.401"
"2023/05/02","12:24","1.241","-","1.398"
"2023/05/02","12:30","1.234","-","1.393"
"2023/05/02","12:36","1.226","-","1.387"
"2023/05/02","12:42","1.216","-","1.378"
"2023/05/02","12:48","1.205","-","1.367"
"2023/05/02","12:54","1.192","-","1.355"
"2023/05/02","13:00","1.177","-","1.341"
"2023/05/02","13:06","1.161","-","1.324"
"2023/05/02","13:12","1.144","-","1.306"
"2023/05/02","13:18","1.126","-","1.288"
